method,cell_id,column,mae,rmse,mape,n_origins
prophet,PCI_1,Cell_Availability_%,0.0373,0.0493,0.04,6
prophet,PCI_1,RRC_Connection_Attempts,131.3888,182.0044,24.21,6
prophet,PCI_1,RRC_Connection_Rejects,0.6123,0.7547,30.82,6
prophet,PCI_1,RRC_Success_Rate_%,0.185,0.2291,0.19,6
prophet,PCI_1,Avg_RRC_Connected_Users,45.8575,59.5794,30.79,6
prophet,PCI_1,Peak_RRC_Connected_Users,57.0734,74.7903,30.57,6
prophet,PCI_1,Registration_Success_Rate_%,0.3862,0.6094,0.39,6
prophet,PCI_1,PDU_Session_Success_Rate_%,0.4297,0.7943,0.43,6
prophet,PCI_1,RRC_Drop_Rate_%,0.0637,0.0788,56.23,6
prophet,PCI_1,Handover_Attempts,15.6277,20.9141,31.23,6
prophet,PCI_1,Handover_Success_Rate_%,0.9415,1.7573,0.96,6
prophet,PCI_1,Xn_HO_Prep_Success_Rate_%,0.4221,0.5811,0.43,6
prophet,PCI_1,Xn_HO_Exec_Success_Rate_%,0.5255,0.7945,0.53,6
prophet,PCI_1,NG_HO_Prep_Success_Rate_%,0.8588,1.5434,0.87,6
prophet,PCI_1,NG_HO_Exec_Success_Rate_%,0.5566,0.6863,0.57,6
prophet,PCI_1,PRB_Utilization_DL_%,13.8571,18.7376,23.12,6
prophet,PCI_1,PRB_Utilization_UL_%,12.5754,16.2325,26.9,6
prophet,PCI_1,DL_Throughput_Mbps,107.411,143.8697,31.85,6
prophet,PCI_1,UL_Throughput_Mbps,32.0268,41.9571,25.47,6
prophet,PCI_1,Total_Traffic_GB,1.0003,1.344,28.61,6
prophet,PCI_1,RACH_Success_Rate_%,0.5246,0.7049,0.53,6
prophet,PCI_1,Latency_ms,2.4285,2.9999,20.3,6
prophet,PCI_10,Cell_Availability_%,0.0343,0.0449,0.03,6
prophet,PCI_10,RRC_Connection_Attempts,143.0092,188.7305,26.13,6
prophet,PCI_10,RRC_Connection_Rejects,0.6019,0.7583,27.51,6
prophet,PCI_10,RRC_Success_Rate_%,0.2323,0.3124,0.23,6
prophet,PCI_10,Avg_RRC_Connected_Users,43.3865,58.5312,30.16,6
prophet,PCI_10,Peak_RRC_Connected_Users,60.3011,80.5708,33.35,6
prophet,PCI_10,Registration_Success_Rate_%,0.6807,1.0958,0.68,6
prophet,PCI_10,PDU_Session_Success_Rate_%,0.5724,1.0012,0.58,6
prophet,PCI_10,RRC_Drop_Rate_%,0.0567,0.0697,98.85,6
prophet,PCI_10,Handover_Attempts,16.3549,21.9356,32.94,6
prophet,PCI_10,Handover_Success_Rate_%,0.7152,1.0752,0.73,6
prophet,PCI_10,Xn_HO_Prep_Success_Rate_%,0.6513,1.013,0.66,6
prophet,PCI_10,Xn_HO_Exec_Success_Rate_%,0.8748,1.4079,0.89,6
prophet,PCI_10,NG_HO_Prep_Success_Rate_%,1.1783,2.4792,1.2,6
prophet,PCI_10,NG_HO_Exec_Success_Rate_%,0.7235,0.966,0.74,6
prophet,PCI_10,PRB_Utilization_DL_%,13.5051,18.9735,23.71,6
prophet,PCI_10,PRB_Utilization_UL_%,12.2068,16.373,26.41,6
prophet,PCI_10,DL_Throughput_Mbps,113.8667,149.0596,33.41,6
prophet,PCI_10,UL_Throughput_Mbps,29.4819,38.5531,23.63,6
prophet,PCI_10,Total_Traffic_GB,1.035,1.3528,29.4,6
prophet,PCI_10,RACH_Success_Rate_%,0.742,1.2577,0.75,6
prophet,PCI_10,Latency_ms,2.5256,3.1675,20.74,6
prophet,PCI_2,Cell_Availability_%,0.1004,0.171,0.1,6
prophet,PCI_2,RRC_Connection_Attempts,138.6015,188.8415,25.3,6
prophet,PCI_2,RRC_Connection_Rejects,0.5916,0.7421,23.48,6
prophet,PCI_2,RRC_Success_Rate_%,0.2264,0.388,0.23,6
prophet,PCI_2,Avg_RRC_Connected_Users,43.6986,59.6839,30.51,6
prophet,PCI_2,Peak_RRC_Connected_Users,63.2794,83.5867,34.71,6
